"subject","predicate","object","direction","evidence","sentence","article","network"
"HNRNPA3","functional_interaction","TIA1","right","positive",,,"Functional Interaction"
"HNRNPC","functional_interaction","HNRNPH1","right","positive",,,"Functional Interaction"
"HNRNPD","functional_interaction","HNRNPH1","right","positive",,,"Functional Interaction"
"HNRNPF","functional_interaction","HNRNPH1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","HNRNPH2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","HNRNPH3","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","HNRNPK","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","HNRNPL","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","HNRNPM","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","HNRNPR","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","HNRNPU","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","HNRNPUL1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","KHDRBS1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","KHSRP","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","LSM2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","MAGOH","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","magoh","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","MAP3K7IP2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","NCBP1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","NCBP2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","NHP2L1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","NPM1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","NUDT21","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PABPN1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PAPOLA","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PCBP1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PCBP2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PCF11","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PHF5A","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2A","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2B","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2C","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2D","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2E","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2F","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2G","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2H","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2I","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2J","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2K","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","POLR2L","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PRPF4","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PRPF6","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PRPF8","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","PTBP1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","RBM25","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","RBM39","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","RBM5","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","RBM8A","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","RBMX","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","RNPS1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3A1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3A2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3A3","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3b1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3B1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3B14","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3B2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3B3","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3B4","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF3B5","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SF4","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFPQ","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS10","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS11","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS12","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS3","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS4","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS5","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS6","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS7","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SFRS9","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SMC1A","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRNP200","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRNP40","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRNP70","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPA","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPA1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPB","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPB2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPD1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPD2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPD3","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPE","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPF","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SNRPG","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SON","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","SRRM1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","TARDBP","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","TCERG1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","THOC4","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","TRA2A","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","TXNL4A","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","U2AF1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","U2AF2","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","UPF3B","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","XPO1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","YBX1","right","positive",,,"Functional Interaction"
"HNRNPH1","functional_interaction","YTHDC1","right","positive",,,"Functional Interaction"
"HNRNPH3","functional_interaction","KIAA0528","right","positive",,,"Functional Interaction"
"HNRNPK","functional_interaction","LYN","right","positive",,,"Functional Interaction"
"HNRNPU","functional_interaction","TIA1","right","positive",,,"Functional Interaction"
"HNRPDL","functional_interaction","TIA1","right","positive",,,"Functional Interaction"
"HOXB13","functional_interaction","TCF7L2","right","positive",,,"Functional Interaction"
"HOXC6","functional_interaction","HOXC8","right","positive",,,"Functional Interaction"
"HOXC6","functional_interaction","OTX2","right","positive",,,"Functional Interaction"
"HPSE","functional_interaction","SDC1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","ICMT","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IGF1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IGF1R","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IKZF3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IL2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IL2RA","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IL2RB","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IL2RG","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IL3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","INPP5D","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","INS","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","INSR","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IRS1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","IRS2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","ITGA6","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","ITGB4","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","ITSN1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","JAK1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","JAK3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","JUN","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","KIT","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","KITLG","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","KRAS","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","LCK","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","LCP2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","MAP2K1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","MAP2K2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","MAP3K1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","MAPK1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","MET","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","Met","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","MLLT4","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","MOS","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","MS4A2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NCF2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NCK1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NCOA4","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NF1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NFIC","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NGF","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NGFR","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NOS1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NOS2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NOS3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NRAS","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NTF3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NTRK1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","NTRK3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PAK2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PAQR5","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PAX3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PDGFA","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PDGFB","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PDGFRA","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PDGFRB","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PELP1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3C2G","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3CA","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3CB","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3CD","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3CG","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3R1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3R2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3R3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PIK3R5","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PLAU","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PLCG1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PLCG2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PRKCA","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PRKCB","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PRKCD","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PRKCE","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PRKCG","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PRKCH","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PRKCQ","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PTEN","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PTK2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PTK2B","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PTPN11","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","PTPN7","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RAC1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RAC2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RAC3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RAF1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RALA","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RALB","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RALBP1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RALGDS","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RANBP9","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RAPGEF1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RAPGEF2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASA1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASA2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASGRF1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASGRF2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASGRP1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASGRP2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASGRP3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASGRP4","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASIP1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASSF1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASSF2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RASSF5","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RET","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RGL1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RGL2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RGL3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RGL4","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RHEB","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RHOA","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RHOD","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RIN1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","RIT2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SDC2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SHC1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SHOC2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SOCS3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SOS1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SOS2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SP1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SPHK1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SPHK2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SPRED1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SPRED2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SPRY1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SPRY2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SPRY3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SPRY4","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","SRC","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TEK","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TFAP2A","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TFG","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TIAM1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TLR2","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TLR9","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TP53","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TP73","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TPM3","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TPR","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TRPV1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","TTC1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","VAV1","right","positive",,,"Functional Interaction"
"HRAS","functional_interaction","YWHAB","right","positive",,,"Functional Interaction"
"HRG","functional_interaction","PLAUR","right","positive",,,"Functional Interaction"
"HRK","functional_interaction","MCL1","right","positive",,,"Functional Interaction"
"HSP90AA1","functional_interaction","TUBA4A","right","positive",,,"Functional Interaction"
"HSP90AA1","functional_interaction","VEGFA","right","positive",,,"Functional Interaction"
"HSP90B1","functional_interaction","LDLR","right","positive",,,"Functional Interaction"
"HSPA5","functional_interaction","LDLR","right","positive",,,"Functional Interaction"
"HSPA5","functional_interaction","PRNP","right","positive",,,"Functional Interaction"
"HSPA5","functional_interaction","SFN","right","positive",,,"Functional Interaction"
"HSPG2","functional_interaction","ITGA2","right","positive",,,"Functional Interaction"
"HTATIP","functional_interaction","LYN","right","positive",,,"Functional Interaction"
"IBSP","functional_interaction","ITGA2","right","positive",,,"Functional Interaction"
"IBTK","functional_interaction","LYN","right","positive",,,"Functional Interaction"
"ICAM1","functional_interaction","IL8","right","positive",,,"Functional Interaction"
"ICAM1","functional_interaction","LYN","right","positive",,,"Functional Interaction"
"ICOS","functional_interaction","PIK3CD","right","positive",,,"Functional Interaction"
"IER3","functional_interaction","MCL1","right","positive",,,"Functional Interaction"
"IER3","functional_interaction","NFKB1","right","positive",,,"Functional Interaction"
"IER3","functional_interaction","TNFSF10","right","positive",,,"Functional Interaction"
"IFI16","functional_interaction","TRIM22","right","positive",,,"Functional Interaction"
"IFNAR1","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IFNAR2","functional_interaction","MXD1","right","positive",,,"Functional Interaction"
"IFNAR2","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IFNG","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IFNG","functional_interaction","MXD1","right","positive",,,"Functional Interaction"
"IFNG","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IFNGR1","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IFNGR2","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IGF1","functional_interaction","PIK3CD","right","positive",,,"Functional Interaction"
"IGF1R","functional_interaction","PDGFA","right","positive",,,"Functional Interaction"
"IGF1R","functional_interaction","PIK3CD","right","positive",,,"Functional Interaction"
"IGF1R","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IGF1R","functional_interaction","TGFA","right","positive",,,"Functional Interaction"
"IGF1R","functional_interaction","VEGFA","right","positive",,,"Functional Interaction"
"IGF2R","functional_interaction","PLAUR","right","positive",,,"Functional Interaction"
"IGFBP7","functional_interaction","VEGFA","right","positive",,,"Functional Interaction"
"IGHE","functional_interaction","LYN","right","positive",,,"Functional Interaction"
"IGHM","functional_interaction","LYN","right","positive",,,"Functional Interaction"
"IKBKB","functional_interaction","MYD88","right","positive",,,"Functional Interaction"
"IKBKB","functional_interaction","TNFRSF10A","right","positive",,,"Functional Interaction"
"IKBKB","functional_interaction","TNFRSF10B","right","positive",,,"Functional Interaction"
"IKBKG","functional_interaction","TNFRSF10A","right","positive",,,"Functional Interaction"
"IKBKG","functional_interaction","TNFRSF10B","right","positive",,,"Functional Interaction"
"IL10RA","functional_interaction","IL8","right","positive",,,"Functional Interaction"
"IL10RA","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL10RB","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL11","functional_interaction","IL11RA","right","positive",,,"Functional Interaction"
"IL11","functional_interaction","IL6ST","right","positive",,,"Functional Interaction"
"IL11RA","functional_interaction","IL8","right","positive",,,"Functional Interaction"
"IL11RA","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL12A","functional_interaction","IL1B","right","positive",,,"Functional Interaction"
"IL12A","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL12B","functional_interaction","IL1B","right","positive",,,"Functional Interaction"
"IL12B","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IL12B","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL12RB1","functional_interaction","IL13RA2","right","positive",,,"Functional Interaction"
"IL12RB1","functional_interaction","IL1A","right","positive",,,"Functional Interaction"
"IL12RB1","functional_interaction","IL1B","right","positive",,,"Functional Interaction"
"IL12RB1","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IL12RB1","functional_interaction","IL8","right","positive",,,"Functional Interaction"
"IL12RB1","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL12RB2","functional_interaction","IL13RA2","right","positive",,,"Functional Interaction"
"IL12RB2","functional_interaction","IL1A","right","positive",,,"Functional Interaction"
"IL12RB2","functional_interaction","IL1B","right","positive",,,"Functional Interaction"
"IL12RB2","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IL12RB2","functional_interaction","IL8","right","positive",,,"Functional Interaction"
"IL12RB2","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL13","functional_interaction","IL13RA2","right","positive",,,"Functional Interaction"
"IL13","functional_interaction","IL1A","right","positive",,,"Functional Interaction"
"IL13","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IL13RA1","functional_interaction","IL8","right","positive",,,"Functional Interaction"
"IL13RA1","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","IL15","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","IL18","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","IL21","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","IL2RB","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","IL6ST","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","IL7","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","IL8","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","IRS1","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","JAK1","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","JAK2","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","JAK3","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","PIK3CA","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","POU2F1","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","PTPN6","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SHC1","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SLA2","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SOCS2","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SOCS3","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SOCS4","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SOCS5","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SOCS7","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SOS1","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","SOS2","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","TFAP2A","right","positive",,,"Functional Interaction"
"IL13RA2","functional_interaction","TYK2","right","positive",,,"Functional Interaction"
"IL15","functional_interaction","IL1A","right","positive",,,"Functional Interaction"
"IL15","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IL15RA","functional_interaction","SOCS1","right","positive",,,"Functional Interaction"
"IL16","functional_interaction","PIK3CD","right","positive",,,"Functional Interaction"
"IL18","functional_interaction","IL1A","right","positive",,,"Functional Interaction"
"IL18","functional_interaction","IL1B","right","positive",,,"Functional Interaction"
"IL18","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IL18R1","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IL18RAP","functional_interaction","IL23A","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL1R1","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL1R2","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL1RAP","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL1RN","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL21","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL2RB","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL6ST","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL7","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IL8","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IRAK1","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IRAK2","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IRAK3","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IRAK4","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","IRS1","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","MAP3K1","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","MAP3K7","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","MAP3K7IP1","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","MAP4K4","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","MAPKAPK2","right","positive",,,"Functional Interaction"
"IL1A","functional_interaction","MAPKAPK3","right","positive",,,"Functional Interaction"
