"","subject","predicate","object","direction","evidence","sentence","article","network"
"21626","RANBP2","interacts with","HIST1H2AC","right","positive","","","Pathway Commons"
"31510","RPL5","interacts with","HK2","right","positive","","","Pathway Commons"
"20043","PPT1","interacts with","TOP1","right","positive","","","Pathway Commons"
"29316","PLXNA2","interacts with","NPTN","right","positive","","","Pathway Commons"
"20268","MDH1","interacts with","JPH2","right","positive","","","Pathway Commons"
"13262","ITPR3","interacts with","ARPC5","right","positive","","","Pathway Commons"
"23733","RPS26","interacts with","FLNB","right","positive","","","Pathway Commons"
"17532","PRKAR1A","interacts with","MDH1","right","positive","","","Pathway Commons"
"29999","PRNP","interacts with","SLC25A5","right","positive","","","Pathway Commons"
"24713","TARS","interacts with","NDRG1","right","positive","","","Pathway Commons"
"12368","HIST1H1E","interacts with","PRDX1","right","positive","","","Pathway Commons"
"4286","NFIB","functional_interaction","SSB","right","positive","","","Functional Interaction"
"20677","YWHAE","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"33995","STX1A","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"21180","RPL23","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"25556","TSC22D1","interacts with","OR4C12","right","positive","","","Pathway Commons"
"20886","ATF7IP","interacts with","TPM1","right","positive","","","Pathway Commons"
"2799","FOSL1","functional_interaction","SMAD4","right","positive","","","Functional Interaction"
"5700","HSPD1","interacts with","SFN","right","positive","","","Pathway Commons"
"34548","TAB2","interacts with","MCL1","right","positive","","","Pathway Commons"
"26313","PLA2G12B","interacts with","PTPRE","right","positive","","","Pathway Commons"
"7322","DDX17","interacts with","NUF2","right","positive","","","Pathway Commons"
"24526","SKP2","interacts with","ANAPC7","right","positive","","","Pathway Commons"
"27155","TNRC6B","interacts with","HSP90AB1","right","positive","","","Pathway Commons"
"35582","LYN","interacts with","AFF4","right","positive","","","Pathway Commons"
"28690","TUBA4A","interacts with","TCOF1","right","positive","","","Pathway Commons"
"32710","DNAJC6","interacts with","MAP1B","right","positive","","","Pathway Commons"
"32931","DNAJC6","interacts with","SHANK2","right","positive","","","Pathway Commons"
"16937","NOLC1","interacts with","GAPDH","right","positive","","","Pathway Commons"
"5178","ZNF273","functional_interaction","ZNF440","right","positive","","","Functional Interaction"
"19641","PIK3CG","interacts with","HRAS","right","positive","","","Pathway Commons"
"33531","SYNPO","interacts with","PRNP","right","positive","","","Pathway Commons"
"25971","SRRM2","interacts with","SAP18","right","positive","","","Pathway Commons"
"782","CCL20","functional_interaction","GNG12","right","positive","","","Functional Interaction"
"27759","TOP1","interacts with","BCR","right","positive","","","Pathway Commons"
"5459","BASP1","interacts with","GLTP","right","positive","","","Pathway Commons"
"38154","renin","induced","FOS","right","positive","Renin induced Fos-IR in SFO, MnPO, peri-OVLT region, SON and PVN. ","PubMed:8864301","Medline Abstracts"
"27668","TOP1","interacts with","RPLP2","right","positive","","","Pathway Commons"
"5153","ZNF273","functional_interaction","ZNF354C","right","positive","","","Functional Interaction"
"21655","RAF1","interacts with","HRAS","right","positive","","","Pathway Commons"
"7386","DDX17","interacts with","BUB1","right","positive","","","Pathway Commons"
"29573","PLXNA2","interacts with","TJP1","right","positive","","","Pathway Commons"
"33736","STX1A","interacts with","DLG1","right","positive","","","Pathway Commons"
"26086","SRRM2","interacts with","ATF2","right","positive","","","Pathway Commons"
"12867","KIAA0528","interacts with","HIPK1","right","positive","","","Pathway Commons"
"16516","NDUFA8","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"28934","TUBA4A","reacts with","AZI1","right","positive","","","Pathway Commons"
"29975","PRNP","interacts with","NPTN","right","positive","","","Pathway Commons"
"18905","PRKG2","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"21649","RHBDF1","interacts with","TGFA","right","positive","","","Pathway Commons"
"6370","HK2","interacts with","PHGDH","right","positive","","","Pathway Commons"
"499","BIK","functional_interaction","MCL1","right","positive","","","Functional Interaction"
"6398","HK2","interacts with","SORT1","right","positive","","","Pathway Commons"
"25563","TSC22D1","interacts with","PHB2","right","positive","","","Pathway Commons"
"23536","SEC16A","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"10616","DDX17","interacts with","TPD52","right","positive","","","Pathway Commons"
"3728","ITGB6","functional_interaction","LAMA3","right","positive","","","Functional Interaction"
"33686","STX1A","interacts with","CDK5RAP3","right","positive","","","Pathway Commons"
"17034","NOLC1","interacts with","MME","right","positive","","","Pathway Commons"
"31669","RPN2","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"17128","NOLC1","interacts with","PPP2R1A","right","positive","","","Pathway Commons"
"20522","MDH1","interacts with","SSR1","right","positive","","","Pathway Commons"
"1849","DDX17","functional_interaction","DHX40","right","positive","","","Functional Interaction"
"26630","TBKBP1","interacts with","FAM83A","right","positive","","","Pathway Commons"
"13708","KRT1","interacts with","SFN","right","positive","","","Pathway Commons"
"17892","CSNK1E","interacts with","ATF7IP","right","positive","","","Pathway Commons"
"13749","INSL6","interacts with","SOCS1","right","positive","","","Pathway Commons"
"17508","MYB","reacts with","PIM1","right","positive","","","Pathway Commons"
"30656","AAK1","interacts with","STX1A","right","positive","","","Pathway Commons"
"9839","FER","interacts with","SRRM2","right","positive","","","Pathway Commons"
"19948","PRNP","interacts with","PTRH1","right","positive","","","Pathway Commons"
"27488","TOP1","interacts with","HSPD1","right","positive","","","Pathway Commons"
"25504","TSC22D1","interacts with","COPB2","right","positive","","","Pathway Commons"
"35189","TPM1","interacts with","SEPT9","right","positive","","","Pathway Commons"
"32142","BCL6","co control","IRF4","right","positive","","","Pathway Commons"
"31952","BIRC3","in same component","CASP2","right","positive","","","Pathway Commons"
"27253","TNIK","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"26977","TPM1","interacts with","MYO1C","right","positive","","","Pathway Commons"
"7815","CNTN2","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"34792","TPM1","interacts with","CACNA1A","right","positive","","","Pathway Commons"
"21237","RACGAP1","interacts with","ITPR3","right","positive","","","Pathway Commons"
"9161","GPRASP1","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"23535","SEC16A","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"28201","TUBA4A","interacts with","ERH","right","positive","","","Pathway Commons"
"21917","PPP2R1A","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"35746","LYN","sequential catalysis","FCER1G","right","positive","","","Pathway Commons"
"28935","TUBA4A","reacts with","MAPRE1","right","positive","","","Pathway Commons"
"7576","DDX3X","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"4043","LYN","functional_interaction","PTPRC","right","positive","","","Functional Interaction"
"2286","ERBB2IP","functional_interaction","HRAS","right","positive","","","Functional Interaction"
"22029","CDC42BPB","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"32548","DNAJC6","interacts with","COPS3","right","positive","","","Pathway Commons"
"22778","SLC12A1","interacts with","OXSR1","right","positive","","","Pathway Commons"
"14833","CAMK2B","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"17409","SLC9A3R1","in same component","ADRB2","right","positive","","","Pathway Commons"
"5149","ZNF273","functional_interaction","ZNF35","right","positive","","","Functional Interaction"
"33197","ARPC5L","interacts with","DDX17","right","positive","","","Pathway Commons"
"6421","HK2","interacts with","TUBB2B","right","positive","","","Pathway Commons"
"25272","SERPINB5","interacts with","AHCYL1","right","positive","","","Pathway Commons"
"16365","MYH9","interacts with","SRRM2","right","positive","","","Pathway Commons"
"11095","HNRNPF","reacts with","HNRNPH1","right","positive","","","Pathway Commons"
"26856","TOB1","interacts with","DDX5","right","positive","","","Pathway Commons"
"8290","DYNLL1","in same component","CSNK1E","right","positive","","","Pathway Commons"
"24917","TSC22D4","interacts with","PRNP","right","positive","","","Pathway Commons"
"22248","MYO1B","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"26074","SRRM2","interacts with","AURKB","right","positive","","","Pathway Commons"
"38283","FOS","activation with","FOS","right","positive","848; P<0.002) of Fos activation with Fos activation in PVN CRH cells. ","PubMed:11121531","Medline Abstracts"
"10668","DPYSL5","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"27988","THOC4","interacts with","NOLC1","right","positive","","","Pathway Commons"
"26492","TCOF1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"15833","CSNK1D","interacts with","ANP32A","right","positive","","","Pathway Commons"
"21725","RECQL5","interacts with","MED25","right","positive","","","Pathway Commons"
"10303","FLNA","interacts with","ITPR3","right","positive","","","Pathway Commons"
"33155","ATP2B2","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"28398","TUBA4A","interacts with","AP3D1","right","positive","","","Pathway Commons"
"13273","ITPR3","interacts with","Tra1","right","positive","","","Pathway Commons"
"14969","CSNK1E","in same component","CEP164","right","positive","","","Pathway Commons"
"29477","PLXNA2","interacts with","SEPT2","right","positive","","","Pathway Commons"
"34735","TRIM46","interacts with","PTPRE","right","positive","","","Pathway Commons"
"7572","GJC2","interacts with","ITGA2","right","positive","","","Pathway Commons"
"15313","LPAR2","interacts with","ARID1A","right","positive","","","Pathway Commons"
"34479","CD46","interacts with","ITGA2","right","positive","","","Pathway Commons"
"31743","ROCK2","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"13309","HOXC6","interacts with","HMGB1","right","positive","","","Pathway Commons"
"20660","AP2B1","interacts with","TPM1","right","positive","","","Pathway Commons"
"1550","CSNK1D","functional_interaction","WNT9B","right","positive","","","Functional Interaction"
"10136","FAM83A","interacts with","AAK1","right","positive","","","Pathway Commons"
"8763","EHD4","interacts with","TSC22D1","right","positive","","","Pathway Commons"
"22415","PPP2R1B","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"38499","IRS-2","associated","PI3","right","positive","In In-R1-G9 glucagonoma cells, the inhibitory effect of pV (0.01 mM) on glucagon response to arginine was also observed and paralleled by increased IRS-1 and IRS-2 associated PI3-kinase activity. ","PubMed:15530428","Medline Abstracts"
"19496","PIAS1","co control","AR","right","positive","","","Pathway Commons"
"26568","TOR1AIP1","interacts with","NUDT5","right","positive","","","Pathway Commons"
"12664","EPB41L3","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"28368","TUBA4A","interacts with","NOP56","right","positive","","","Pathway Commons"
"13647","IL1B","reacts with","PIK3CA","right","positive","","","Pathway Commons"
"22952","S100A6","interacts with","SRP14","right","positive","","","Pathway Commons"
"35853","WBP7","interacts with","LPAR2","right","positive","","","Pathway Commons"
"24974","SMURF2","interacts with","NOMO1","right","positive","","","Pathway Commons"
"14935","CSNK1E","in same component","PCM1","right","positive","","","Pathway Commons"
"27506","TOP1","interacts with","DHX9","right","positive","","","Pathway Commons"
"24662","SLA2","interacts with","ITGA2","right","positive","","","Pathway Commons"
"23954","SFRS7","reacts with","HNRNPH1","right","positive","","","Pathway Commons"
"22337","NCAM1","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"8876","TUFM","interacts with","HIST1H1E","right","positive","","","Pathway Commons"
"29350","PLXNA2","interacts with","ACTN1","right","positive","","","Pathway Commons"
"5132","ZNF273","functional_interaction","ZNF320","right","positive","","","Functional Interaction"
"22077","NCAM2","interacts with","TPM1","right","positive","","","Pathway Commons"
"31873","BTBD1","interacts with","TOP1","right","positive","","","Pathway Commons"
"36559","MARK4","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"10036","FOS","metabolic catalysis","TIMP1","right","positive","","","Pathway Commons"
"6648","HNRNPH1","interacts with","OAT","right","positive","","","Pathway Commons"
"20682","SLC25A11","interacts with","HK2","right","positive","","","Pathway Commons"
"1709","CXCL1","functional_interaction","GNG13","right","positive","","","Functional Interaction"
"6878","HNRNPH1","interacts with","TKT","right","positive","","","Pathway Commons"
"14468","ICAM4","interacts with","PNMA2","right","positive","","","Pathway Commons"
"15226","CSNK1E","reacts with","SDCCAG8","right","positive","","","Pathway Commons"
"21423","AP2A1","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"11281","GRHL3","interacts with","GRHL2","right","positive","","","Pathway Commons"
"31458","YES1","reacts with","VEGFA","right","positive","","","Pathway Commons"
"6899","HNRNPH1","interacts with","SLC25A1","right","positive","","","Pathway Commons"
"22305","ABL2","interacts with","SRRM2","right","positive","","","Pathway Commons"
"31104","PTPRE","interacts with","MOBKL3","right","positive","","","Pathway Commons"
"1925","DUSP1","functional_interaction","EPS15","right","positive","","","Functional Interaction"
"27093","TPM1","interacts with","TNNT2","right","positive","","","Pathway Commons"
"20572","MDH1","interacts with","TPP1","right","positive","","","Pathway Commons"
"28430","TUBA4A","interacts with","PLK1","right","positive","","","Pathway Commons"
"18623","OTUD7B","interacts with","TNFRSF10A","right","positive","","","Pathway Commons"
"16197","NOP58","interacts with","NOLC1","right","positive","","","Pathway Commons"
"26147","SRRM2","interacts with","MAP3K3","right","positive","","","Pathway Commons"
"35863","MAP3K2","interacts with","LYN","right","positive","","","Pathway Commons"
"17640","KRT14","interacts with","MDH1","right","positive","","","Pathway Commons"
"15727","CSNK1D","interacts with","DVL1","right","positive","","","Pathway Commons"
"38132","FOS","components of","AP-1","right","positive","Interestingly, Jun and Fos components of AP-1 interact with the variant TGGCTCA sequence located in the -247 to -222 region of both neurotropic strains. ","PubMed:7474072","Medline Abstracts"
"27657","TOP1","interacts with","RPL11","right","positive","","","Pathway Commons"
"28148","TUBA4A","interacts with","HSPA8","right","positive","","","Pathway Commons"
"33221","ASTN2","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"8631","ERH","interacts with","DDX17","right","positive","","","Pathway Commons"
"34350","MAX","in same component","PIM1","right","positive","","","Pathway Commons"
"23195","SFN","interacts with","TNK1","right","positive","","","Pathway Commons"
"10441","DDX3X","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"37391","CDK3","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"35011","TPM1","interacts with","MPP3","right","positive","","","Pathway Commons"
"31003","ADAM23","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"21996","HNRNPA1","interacts with","SKP2","right","positive","","","Pathway Commons"
"13155","ITPR3","interacts with","ANXA2","right","positive","","","Pathway Commons"
"8287","EPHB1","interacts with","LYN","right","positive","","","Pathway Commons"
"22357","MYO5A","interacts with","TPM1","right","positive","","","Pathway Commons"
"23022","SH3D19","interacts with","CAPZA2","right","positive","","","Pathway Commons"
"19892","PF4V1","interacts with","FN1","right","positive","","","Pathway Commons"
"21595","YWHAH","interacts with","PIAS1","right","positive","","","Pathway Commons"
"9894","FOS","co control","GATA3","right","positive","","","Pathway Commons"
"32244","ATP5I","interacts with","TNRC6A","right","positive","","","Pathway Commons"
"10439","DDX3X","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"22093","MSN","interacts with","HK2","right","positive","","","Pathway Commons"
"16168","NOMO1","interacts with","SMURF2","right","positive","","","Pathway Commons"
"15049","CSNK1E","interacts with","NTRK1","right","positive","","","Pathway Commons"
"1812","CXCL5","functional_interaction","GNG4","right","positive","","","Functional Interaction"
"18950","APOA1","sequential catalysis","ABCA1","right","positive","","","Pathway Commons"
"5345","ZNF273","functional_interaction","ZNF763","right","positive","","","Functional Interaction"
"20752","MAP2","interacts with","STX1A","right","positive","","","Pathway Commons"
"22922","S100A6","interacts with","S100A11","right","positive","","","Pathway Commons"
"7585","C18orf56","interacts with","PRNP","right","positive","","","Pathway Commons"
"16431","NEDD8","interacts with","SKP2","right","positive","","","Pathway Commons"
"19165","PNMA2","interacts with","MYO18A","right","positive","","","Pathway Commons"
"16765","NEFL","state change","HRAS","right","positive","","","Pathway Commons"
"35792","LRP8","interacts with","FYN","right","positive","","","Pathway Commons"
"29018","PRX","interacts with","NDRG1","right","positive","","","Pathway Commons"
"11392","HIST1H2AC","interacts with","MCM6","right","positive","","","Pathway Commons"
"25543","TSC22D1","interacts with","IPO9","right","positive","","","Pathway Commons"
"12799","JUN","interacts with","FOS","right","positive","","","Pathway Commons"
"7898","CKAP4","interacts with","PRNP","right","positive","","","Pathway Commons"
"13409","KRT6A","interacts with","PPBP","right","positive","","","Pathway Commons"
"24622","STAT3","interacts with","SFN","right","positive","","","Pathway Commons"
"7318","DDX17","interacts with","NDC80","right","positive","","","Pathway Commons"
"2865","GK","functional_interaction","RXRB","right","positive","","","Functional Interaction"
"25867","SRRM2","interacts with","PLK4","right","positive","","","Pathway Commons"
"35424","LYN","interacts with","DSG2","right","positive","","","Pathway Commons"
"4921","TBCC","functional_interaction","TUBA4A","right","positive","","","Functional Interaction"
"12365","HIST1H1E","interacts with","PEX19","right","positive","","","Pathway Commons"
"10260","FCER1G","state change","LYN","right","positive","","","Pathway Commons"
"4268","NFE2L2","functional_interaction","PRNP","right","positive","","","Functional Interaction"
"10261","GAB3","interacts with","LYN","right","positive","","","Pathway Commons"
"12170","HNRNPH1","reacts with","SNRPF","right","positive","","","Pathway Commons"
"5240","ZNF273","functional_interaction","ZNF567","right","positive","","","Functional Interaction"
"25110","SKAP2","interacts with","LYN","right","positive","","","Pathway Commons"
"12494","HIST1H1E","interacts with","MATR3","right","positive","","","Pathway Commons"
"17948","CSNK1E","interacts with","NRGN","right","positive","","","Pathway Commons"
"7427","DDX6","interacts with","FLNB","right","positive","","","Pathway Commons"
"2966","GRB2","functional_interaction","IL13RA2","right","positive","","","Functional Interaction"
"37780","NOS","activation with","PI3","right","positive","In our previous studies in cultured human and rat arterial VSMC, we observed that insulin, through NOS activation with PI3-K-dependent mechanism, elicits a concentration-dependent increase of cGMP levels, increases cAMP content, and enhances the effects of the PGIanalogue Iloprost, of-adrenoceptor agonists and of forskolin on cAMP levels. ","DOI:10.1155/2010/174341,PubMed Central:2905911,PubMed:20652043","Pubmed Open-Access Full Texts"
"19337","PIK3CD","interacts with","ASCC2","right","positive","","","Pathway Commons"
"38450","apoA-I","activates","ABCA1","right","positive","Together, our results indicate that apoA-I activates ABCA1 phosphorylation through the cAMP/protein kinase A-dependent pathway, apoA-I-mediated cAMP production required high level expression of functional ABCA1, and Tangier disease mutants have defective apoA-I-mediated cAMP signaling. ","PubMed:14701824","Medline Abstracts"
"29148","PLXNA2","interacts with","EEF1A1","right","positive","","","Pathway Commons"
"19504","PIAS1","interacts with","CUL4A","right","positive","","","Pathway Commons"
"28720","TUBA4A","interacts with","CCT4","right","positive","","","Pathway Commons"
"18501","LEPRE1","interacts with","MED25","right","positive","","","Pathway Commons"
"17037","NOLC1","interacts with","SLC9A3R1","right","positive","","","Pathway Commons"
"25901","SRRM2","interacts with","RPL14","right","positive","","","Pathway Commons"
"7924","HK1","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"17018","NOLC1","interacts with","NOC4L","right","positive","","","Pathway Commons"
"27052","TPM1","interacts with","SHC1","right","positive","","","Pathway Commons"
"338","ARHGEF11","functional_interaction","LPAR2","right","positive","","","Functional Interaction"
"3292","HRAS","functional_interaction","SHOC2","right","positive","","","Functional Interaction"
"11918","HNRNPH1","interacts with","STAU1","right","positive","","","Pathway Commons"
"20223","MDH1","interacts with","HADHB","right","positive","","","Pathway Commons"
"38757","SOCS1","inhibited","IFN-gamma","right","positive","Here we show that, after IFN-gamma stimulation, SOCS1 inhibited IFN-gamma receptor and STAT1 phosphorylation but maintained ERK1/2 activation. ","PubMed:18556463","Medline Abstracts"
"11668","HNRNPH1","interacts with","IFIT3","right","positive","","","Pathway Commons"
"26673","GTF3C2","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"3274","HRAS","functional_interaction","RASGRP3","right","positive","","","Functional Interaction"
"31842","BUB1B","interacts with","DDX17","right","positive","","","Pathway Commons"
"4443","PIAS1","functional_interaction","STAT4","right","positive","","","Functional Interaction"
"30111","PRNP","interacts with","AP2A2","right","positive","","","Pathway Commons"
"7360","DDX17","interacts with","STRAP","right","positive","","","Pathway Commons"
"26573","TOR1AIP1","interacts with","RCN1","right","positive","","","Pathway Commons"
"8685","DUSP1","interacts with","CUL1","right","positive","","","Pathway Commons"
"12967","KIAA0528","interacts with","YES1","right","positive","","","Pathway Commons"
"17414","NDRG1","interacts with","CLTC","right","positive","","","Pathway Commons"
"34444","ODZ4","interacts with","PRNP","right","positive","","","Pathway Commons"
"36906","MXD1","reacts with","SAP30","right","positive","","","Pathway Commons"
"36753","CDCP1","interacts with","TTR","right","positive","","","Pathway Commons"
"4734","SDC1","functional_interaction","THBS2","right","positive","","","Functional Interaction"
"25303","SERPINB5","interacts with","ZYX","right","positive","","","Pathway Commons"
"14387","ITGB1","in same component","ITGA2","right","positive","","","Pathway Commons"
"21216","RCN1","interacts with","DDX17","right","positive","","","Pathway Commons"
"28587","TUBA4A","interacts with","Rpn1","right","positive","","","Pathway Commons"
"33106","ATP5B","interacts with","TPM1","right","positive","","","Pathway Commons"
"25380","SOCS1","in same component","JAK1","right","positive","","","Pathway Commons"
"30970","ADD1","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"11516","HNRNPH1","interacts with","CLTB","right","positive","","","Pathway Commons"
"38277","VIP","stimulates","JUNB","right","positive","Furthermore, VIP stimulates JunB production in LPS-stimulated microglia. ","PubMed:12054537","Medline Abstracts"
"37526","CCNA1","interacts with","MTHFD1","right","positive","","","Pathway Commons"
"11884","HNRNPH1","interacts with","CD3EAP","right","positive","","","Pathway Commons"
"36238","VAT1L","interacts with","GLTP","right","positive","","","Pathway Commons"
"29378","PLXNA2","interacts with","ACSBG1","right","positive","","","Pathway Commons"
"3749","ITPR3","functional_interaction","PLCG2","right","positive","","","Functional Interaction"
"5846","COPR5","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"532","BMP2","functional_interaction","GLI2","right","positive","","","Functional Interaction"
"5826","VPS24","interacts with","FOS","right","positive","","","Pathway Commons"
"29986","PRNP","interacts with","NTM","right","positive","","","Pathway Commons"
"546","BMP2","functional_interaction","PPP1CA","right","positive","","","Functional Interaction"
"11355","HIST1H2AC","interacts with","GCN1L1","right","positive","","","Pathway Commons"
"5670","SYNCRIP","interacts with","MDH1","right","positive","","","Pathway Commons"
"21728","RBM10","interacts with","SRRM2","right","positive","","","Pathway Commons"
"33890","STX1A","interacts with","NCAM2","right","positive","","","Pathway Commons"
"33864","STX1A","interacts with","MDH2","right","positive","","","Pathway Commons"
"33787","STX1A","interacts with","FAM40B","right","positive","","","Pathway Commons"
"4174","MMP14","functional_interaction","TIMP3","right","positive","","","Functional Interaction"
"28799","TUBA4A","interacts with","BOLA2","right","positive","","","Pathway Commons"
"16083","SLC25A22","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"38050","VEGFA","expression by","tenascin","left","positive","In particular, regulation of VEGFA expression by tenascin-C could be relevant to tenascin-C-associated tumor angiogenesis, since xenografted melanoma cells were largely impaired in triggering a new vasculature in tenascin-C-null mice, which correlated with reduced VEGFA levels in the circulation (Tanaka et al.). ","PubMed Central:2778592,DOI:10.1007/s12079-009-0075-1,PubMed:19838819,Other:75","Pubmed Open-Access Full Texts"
"27888","TCF7L2","metabolic catalysis","AXIN2","right","positive","","","Pathway Commons"
"35756","LYN","state change","KLRG1","right","positive","","","Pathway Commons"
"27625","TOP1","interacts with","PSME4","right","positive","","","Pathway Commons"
"37366","CALM1","in same component","ATP2B1","right","positive","","","Pathway Commons"
"11117","GEMIN6","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"1000","CEP250","functional_interaction","TUBA4A","right","positive","","","Functional Interaction"
"28718","TUBA4A","interacts with","ALDOA","right","positive","","","Pathway Commons"
"38267","IL-1","induced","PTX3","right","positive","Central administration of LPS and IL-1 induced PTX3 also in the periphery (heart), whereas the reverse did not occur. ","PubMed:10814786","Medline Abstracts"
"3306","HRAS","functional_interaction","SRC","right","positive","","","Functional Interaction"
"34871","TPM1","interacts with","DLG4","right","positive","","","Pathway Commons"
"16515","NDUFA8","interacts with","TOP1","right","positive","","","Pathway Commons"
"32635","DNAJC6","interacts with","GRM3","right","positive","","","Pathway Commons"
"5452","BSN","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"11692","HNRNPH1","interacts with","KCNAB1","right","positive","","","Pathway Commons"
"11245","HIST1H2BH","interacts with","S100A6","right","positive","","","Pathway Commons"
"6561","HNRNPH1","interacts with","GPI","right","positive","","","Pathway Commons"
"657","CASP2","functional_interaction","CASP3","right","positive","","","Functional Interaction"
"18068","CSNK1E","interacts with","RPN2","right","positive","","","Pathway Commons"
"36107","WDR7","interacts with","TPM1","right","positive","","","Pathway Commons"
"32272","ATF2","co control","FOS","right","positive","","","Pathway Commons"
"5892","COL1A2","in same component","ITGA2","right","positive","","","Pathway Commons"
"19787","PNN","interacts with","NOLC1","right","positive","","","Pathway Commons"
"10298","FAM172A","interacts with","GLCCI1","right","positive","","","Pathway Commons"
"14716","PKM2","interacts with","SKP2","right","positive","","","Pathway Commons"
"13041","ITPR3","interacts with","DDX6","right","positive","","","Pathway Commons"
"323","ARHGAP25","functional_interaction","RHOF","right","positive","","","Functional Interaction"
"25667","SRRM2","interacts with","CNGA3","right","positive","","","Pathway Commons"
"4421","PFDN2","functional_interaction","TUBA4A","right","positive","","","Functional Interaction"
"1672","CTBP1","functional_interaction","RUNX1","right","positive","","","Functional Interaction"
"21621","RPL18","interacts with","TOP1","right","positive","","","Pathway Commons"
"29945","PRNP","interacts with","MYO1D","right","positive","","","Pathway Commons"
"25119","STXBP5","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"31690","RPL5","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"25834","SRRM2","interacts with","NOLC1","right","positive","","","Pathway Commons"
"15755","CSNK1D","interacts with","JAK1","right","positive","","","Pathway Commons"
"16918","NOLC1","interacts with","AHCTF1","right","positive","","","Pathway Commons"
"22117","MYL1","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"36820","CFTR","interacts with","LPAR2","right","positive","","","Pathway Commons"
"6014","HK2","interacts with","HNRNPF","right","positive","","","Pathway Commons"
"27236","TNRC6B","interacts with","SLC25A1","right","positive","","","Pathway Commons"
"21992","HNRNPA1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"4625","PRKCA","functional_interaction","SFN","right","positive","","","Functional Interaction"
"15891","CSNK1D","interacts with","MARK2","right","positive","","","Pathway Commons"
"27086","TPM1","interacts with","TUBB","right","positive","","","Pathway Commons"
"38813","ERK","phosphorylate","RUNX1","right","positive","Both Cdk and ERK phosphorylate Runx1 to influence its interaction with co-repressors, and the Wnt effector LEF-1/TCF also modulates Runx1 activities. ","PubMed:19235904","Medline Abstracts"
"36101","UNC13A","interacts with","TPM1","right","positive","","","Pathway Commons"
"8952","DNAJA2","interacts with","SMURF2","right","positive","","","Pathway Commons"
"9581","FSHR","interacts with","TOP1","right","positive","","","Pathway Commons"
"626","CASP1","functional_interaction","CASP8","right","positive","","","Functional Interaction"
"29785","PRNP","interacts with","DNAJC11","right","positive","","","Pathway Commons"
"3574","IL8","functional_interaction","RELA","right","positive","","","Functional Interaction"
"7883","SLC25A12","interacts with","STX1A","right","positive","","","Pathway Commons"
"15778","CSNK1D","interacts with","CAMKK2","right","positive","","","Pathway Commons"
"14862","RPS6KA3","interacts with","LYN","right","positive","","","Pathway Commons"
"3464","IL1B","functional_interaction","IRAK2","right","positive","","","Functional Interaction"
"24132","DLST","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"26608","TANK","interacts with","FAM83A","right","positive","","","Pathway Commons"
"35837","MAP1B","interacts with","SRRM2","right","positive","","","Pathway Commons"
"11444","HNRNPH1","in same component","PTBP1","right","positive","","","Pathway Commons"
"15435","SSB","interacts with","LYN","right","positive","","","Pathway Commons"
"28765","TUBA4A","interacts with","XPO5","right","positive","","","Pathway Commons"
"37146","CBLB","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"18805","LONP1","interacts with","GLTP","right","positive","","","Pathway Commons"
"22011","ANKRD52","interacts with","PTHLH","right","positive","","","Pathway Commons"
